title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Too Good At Goodbyes,Sam Smith,dance pop,2017,2021‑01‑28,92,0.372,0.715,-8.237,0.169,0.474,201000,0.638,0.0443,77,2017,Solo
Fetish (feat. Gucci Mane),Selena Gomez,dance pop,2017,2021‑08‑17,123,0.618,0.708,-4.424,0.062,0.265,186113,0.0204,0.0592,74,2017,Solo
Don't Leave,Snakehips,edm,2017,2021‑01‑28,122,0.716,0.523,-5.861,0.299,0.386,169107,0.0045,0.0355,68,2017,Duo
Love Galore (feat. Travis Scott),SZA,pop,2017,2021‑01‑28,135,0.594,0.795,-6.2,0.162,0.409,275080,0.112,0.0748,81,2017,Solo
Look What You Made Me Do,Taylor Swift,pop,2017,2021‑01‑28,128,0.709,0.766,-6.471,0.126,0.506,211853,0.204,0.123,81,2017,Solo
...Ready For It?,Taylor Swift,pop,2017,2021‑01‑28,160,0.764,0.613,-6.509,0.197,0.417,208187,0.0527,0.136,78,2017,Solo
Something Just Like This,The Chainsmokers,dance pop,2017,2021‑01‑28,103,0.635,0.617,-6.769,0.164,0.446,247160,0.0498,0.0317,87,2017,Duo
Paris,The Chainsmokers,dance pop,2017,2021‑01‑28,100,0.648,0.849,-6.188,0.0984,0.195,111020,0.0706,0.0835,77,2017,Duo
All Night,The Vamps,boy band,2017,2021‑01‑28,145,0.528,0.82,-11.18,0.257,0.926,272107,0.107,0.032,78,2017,Duo
Middle Of The Night,The Vamps,boy band,2017,2021‑01‑28,130,0.611,0.41,-8.271,0.116,0.0899,184448,0.0228,0.0467,65,2017,Duo
Jocelyn Flores,XXXTENTACION,emo rap,2017,2021‑01‑28,134,0.391,0.872,-9.144,0.297,0.437,119133,0.469,0.242,89,2017,Solo
Rake It Up (feat. Nicki Minaj),Yo Gotti,dirty south rap,2017,2021‑01‑28,150,0.444,0.91,-8.126,0.137,0.53,276333,0.022,0.344,73,2017,Solo
I Would Like,Zara Larsson,dance pop,2017,2021‑01‑28,121,0.353,0.657,-19.724,0.0946,0.24,203347,0.471,0.0643,62,2017,Solo
Stay,Zedd,complextro,2017,2021‑01‑28,102,0.764,0.591,-5.484,0.103,0.478,141806,0.0383,0.0483,80,2017,Solo
Finesse - Remix; feat. Cardi B,Bruno Mars,dance pop,2017,2020‑06‑22,105,0.859,0.704,-4.877,0.0215,0.926,217289,0.0185,0.0996,78,2018,Solo
Nevermind,Dennis Lloyd,israeli pop,2017,2020‑06‑22,100,0.688,0.6,-8.339,0.409,0.0793,156600,0.159,0.201,79,2018,Solo
IDGAF,Dua Lipa,dance pop,2017,2020‑06‑22,97,0.672,0.673,-8.577,0.193,0.14,260111,0.0466,0.224,83,2018,Solo
Boo'd Up,Ella Mai,dance pop,2017,2020‑06‑22,82,0.515,0.929,-8.103,0.226,0.589,195387,0.427,0.0629,73,2018,Solo
River (feat. Ed Sheeran),Eminem,detroit hip hop,2017,2020‑06‑22,90,0.749,0.748,-5.916,0.0713,0.659,221013,0.142,0.516,77,2018,Solo
Him & I (with Halsey),G-Eazy,indie pop rap,2017,2020‑06‑22,88,0.731,0.589,-6.343,0.308,0.191,268867,0.0534,0.0868,80,2018,Solo
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2017,2020‑06‑22,103,0.708,0.664,-4.154,0.0841,0.742,174800,0.0337,0.0474,81,2018,Solo
Bad At Love,Halsey,dance pop,2017,2020‑06‑22,118,0.751,0.675,-3.539,0.0893,0.612,181279,0.0604,0.0296,77,2018,Solo
The Greatest Show,Hugh Jackman,hollywood,2017,2020‑06‑22,158,0.824,0.417,-7.36,0.0725,0.4,302147,0.000239,0.105,77,2018,Band/Group
LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,2017,2020‑08‑11,126,0.585,0.8,-7.343,0.153,0.779,213400,0.264,0.0924,85,2018,Solo
Body,Loud Luxury,dance pop,2017,2020‑06‑22,122,0.764,0.752,-4.399,0.0543,0.582,163216,0.0476,0.038,77,2018,Duo
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,ohio hip hop,2017,2021‑05‑06,82,0.718,0.653,-5.232,0.0537,0.216,202805,0.00413,0.213,77,2018,Solo
Silence,Marshmello,brostep,2017,2020‑06‑22,142,0.761,0.52,-3.093,0.17,0.286,180823,0.256,0.0853,84,2018,Solo
17,MK,dance pop,2017,2020‑06‑22,122,0.483,0.738,-9.097,0.086,0.774,181307,0.467,0.0526,69,2018,Solo
Let You Down,NF,hip hop,2017,2020‑06‑22,148,0.714,0.661,-5.68,0.179,0.464,212120,0.314,0.121,84,2018,Solo
Ric Flair Drip (with Metro Boomin),Offset,atl hip hop,2017,2020‑06‑22,100,0.428,0.88,-8.28,0.114,0.333,172800,0.149,0.206,85,2018,Solo
Delicate,Taylor Swift,pop,2017,2020‑06‑22,95,0.404,0.75,-10.178,0.0911,0.0499,232253,0.216,0.0682,81,2018,Solo
Alarm,Anne-Marie,dance pop,2016,2020‑06‑08,147,0.589,0.756,-5.093,0.176,0.811,205593,0.0812,0.232,62,2016,Solo
Into You,Ariana Grande,dance pop,2016,2020‑06‑08,108,0.734,0.623,-5.948,0.145,0.37,244453,0.0162,0.107,73,2016,Solo
Side To Side,Ariana Grande,dance pop,2016,2020‑06‑08,159,0.736,0.649,-5.84,0.235,0.612,226160,0.0528,0.23,72,2016,Solo
Dangerous Woman,Ariana Grande,dance pop,2016,2020‑06‑08,134,0.602,0.664,-5.369,0.356,0.289,235947,0.0529,0.0412,72,2016,Solo
Good Grief,Bastille,metropopolis,2016,2021‑08‑09,120,0.758,0.731,-4.888,0.311,0.88,206493,0.143,0.065,70,2016,Band/Group
Sorry,Beyoncé,dance pop,2016,2020‑08‑11,130,0.675,0.819,-4.281,0.289,0.602,207747,0.0318,0.0727,72,2016,Solo
This Is What You Came For,Calvin Harris,dance pop,2016,2020‑06‑08,124,0.927,0.631,-2.787,0.148,0.465,222160,0.199,0.0332,84,2016,Solo
My Way,Calvin Harris,dance pop,2016,2020‑06‑08,120,0.913,0.818,-3.06,0.161,0.536,219160,0.093,0.0426,78,2016,Solo
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,dance pop,2016,2020‑06‑08,100,0.563,0.728,-8.053,0.179,0.352,217707,0.621,0.134,73,2016,Solo
One Call Away,Charlie Puth,dance pop,2016,2020‑06‑08,91,0.613,0.667,-5.353,0.115,0.47,194453,0.403,0.0344,70,2016,Solo
Dangerously,Charlie Puth,dance pop,2016,2021‑08‑17,112,0.407,0.609,-8.026,0.19,0.459,293133,0.345,0.0808,58,2016,Solo
Sex,Cheat Codes,dance pop,2016,2020‑06‑08,102,0.905,0.542,-5.653,0.136,0.374,203347,0.00172,0.054,66,2016,Trio
Tears (feat. Louisa Johnson),Clean Bandit,dance pop,2016,2020‑06‑08,130,0.77,0.605,-3.645,0.159,0.298,225915,0.0431,0.0446,65,2016,Band/Group
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,big room,2016,2020‑06‑08,110,0.915,0.367,-3.456,0.0905,0.365,207273,0.0022,0.0488,72,2016,Solo
"Sit Still, Look Pretty",Daya,alt z,2016,2020‑06‑08,182,0.734,0.846,-3.601,0.425,0.717,207761,0.286,0.108,76,2016,Solo
Hide Away,Daya,alt z,2016,2020‑06‑08,95,0.826,0.884,-3.672,0.0651,0.465,191368,0.222,0.0853,72,2016,Solo
Let Me Love You,DJ Snake,dance pop,2016,2020‑06‑08,100,0.593,0.622,-8.352,0.0979,0.607,249093,0.163,0.0916,86,2016,Solo
Middle,DJ Snake,dance pop,2016,2020‑06‑25,105,0.849,0.643,-5.428,0.058,0.903,165853,0.0371,0.0526,79,2016,Solo
Cake By The Ocean,DNCE,dance pop,2016,2020‑06‑08,119,0.753,0.774,-5.446,0.0371,0.896,219147,0.152,0.0517,84,2016,Band/Group
Too Good,Drake,canadian hip hop,2016,2020‑06‑08,118,0.706,0.66,-5.219,0.129,0.453,169573,0.092,0.0291,78,2016,Solo
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,dance pop,2016,2020‑06‑08,91,0.908,0.716,-3.254,0.135,0.869,199693,0.0858,0.103,72,2016,Solo
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,2020‑06‑08,105,0.585,0.803,-5.861,0.0644,0.593,214480,0.103,0.0432,81,2016,Band/Group
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,dance pop,2016,2020‑06‑08,95,0.791,0.689,-5.194,0.0526,0.755,210573,0.023,0.053,67,2016,Band/Group
Say It (feat. Tove Lo),Flume,australian dance,2016,2020‑06‑29,75,0.532,0.598,-6.833,0.0617,0.261,262521,0.0668,0.0295,64,2016,Solo
Pink + White,Frank Ocean,alternative r&b,2016,2020‑06‑08,160,0.545,0.545,-7.362,0.417,0.549,184516,0.667,0.107,84,2016,Solo
Low Life (feat. The Weeknd),Future,atl hip hop,2016,2020‑06‑08,144,0.331,0.722,-7.789,0.146,0.102,313547,0.337,0.0726,78,2016,Solo
No Money,Galantis,dance pop,2016,2020‑06‑08,126,0.655,0.667,-9.339,0.0641,0.657,506400,0.0491,0.0367,72,2016,Duo
"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,electropop,2016,2020‑06‑08,93,0.275,0.492,-13.4,0.101,0.18,251034,0.687,0.3,82,2016,Solo
Starving,Hailee Steinfeld,dance pop,2016,2020‑06‑08,100,0.616,0.728,-4.238,0.105,0.508,181880,0.378,0.0645,81,2016,Solo
Can I Be Him,James Arthur,pop,2016,2020‑06‑08,108,0.543,0.696,-6.164,0.0939,0.479,246880,0.308,0.0489,80,2016,Solo
Love Me Now,John Legend,neo soul,2016,2020‑06‑08,123,0.762,0.495,-3.842,0.0763,0.708,210293,0.591,0.0862,59,2016,Solo
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,2020‑06‑08,113,0.832,0.669,-5.721,0.0968,0.7,237547,0.0106,0.0682,77,2016,Solo
Stole the Show,Kygo,edm,2016,2020‑06‑08,100,0.635,0.64,-7.565,0.319,0.475,223187,0.271,0.226,78,2016,Solo
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,hip hop,2016,2020‑06‑08,169,0.786,0.502,-4.378,0.65,0.739,243491,0.255,0.317,80,2016,Solo
Shout Out to My Ex,Little Mix,dance pop,2016,2020‑06‑08,126,0.747,0.773,-4.061,0.109,0.801,246240,0.0242,0.0885,81,2016,Band/Group
7 Years,Lukas Graham,danish pop,2016,2020‑06‑08,120,0.473,0.765,-5.829,0.391,0.34,237300,0.287,0.0514,83,2016,Band/Group
Cold Water,Major Lazer,dance pop,2016,2020‑06‑08,93,0.798,0.608,-5.092,0.156,0.5,185360,0.0736,0.0432,72,2016,Trio
Alone,Marshmello,brostep,2016,2021‑08‑17,142,0.452,0.418,-13.099,0.0959,0.168,218733,0.638,0.0355,76,2016,Solo
In the Name of Love,Martin Garrix,dance pop,2016,2020‑06‑08,134,0.519,0.501,-5.88,0.454,0.168,195707,0.109,0.0409,81,2016,Solo
The Ocean (feat. Shy Martin),Mike Perry,dance pop,2016,2020‑06‑08,90,0.575,0.632,-6.478,0.104,0.188,183414,0.0225,0.029,75,2016,Solo
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,2020‑06‑08,102,0.714,0.664,-6.645,0.0843,0.71,197933,0.0353,0.111,81,2016,Solo
Final Song,MØ,art pop,2016,2020‑06‑08,105,0.672,0.695,-6.109,0.0756,0.245,235827,0.014,0.0345,70,2016,Solo
This Town,Niall Horan,dance pop,2016,2020‑06‑08,112,0.401,0.677,-8.467,0.116,0.195,232852,0.712,0.0308,64,2016,Solo
Close,Nick Jonas,dance pop,2016,2020‑06‑08,124,0.727,0.59,-7.955,0.0827,0.356,225973,0.0259,0.0706,74,2016,Solo
History,Olivia Holt,alt z,2016,2020‑06‑08,101,0.373,0.438,-9.769,0.123,0.274,97050,0.803,0.0291,64,2016,Solo
Wherever I Go,OneRepublic,dance pop,2016,2021‑11‑25,100,0.675,0.54,-6.449,0.237,0.348,169773,0.1,0.0429,68,2016,Band/Group
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,2020‑06‑29,163,0.702,0.632,-5.92,0.108,0.523,215414,0.0114,0.148,73,2016,Solo
Not Nice,PARTYNEXTDOOR,pop,2016,2020‑06‑08,128,0.554,0.425,-4.145,0.0963,0.288,237297,0.134,0.0298,67,2016,Solo
Needed Me,Rihanna,barbadian pop,2016,2020‑06‑08,111,0.315,0.697,-8.091,0.0825,0.298,191600,0.11,0.234,84,2016,Solo
Work,Rihanna,barbadian pop,2016,2020‑06‑08,92,0.427,0.831,-6.903,0.307,0.216,235320,0.0531,0.106,80,2016,Solo
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,2016,2020‑06‑08,186,0.664,0.336,-5.68,0.0575,0.294,199315,0.166,0.102,74,2016,Solo
The Greatest (feat. Kendrick Lamar),Sia,australian dance,2016,2020‑06‑08,192,0.725,0.668,-6.127,0.0561,0.729,210227,0.0102,0.266,73,2016,Solo
Cheap Thrills (feat. Sean Paul),Sia,australian dance,2016,2020‑06‑08,90,0.788,0.592,-4.924,0.125,0.755,224493,0.0599,0.201,73,2016,Solo
Somebody Else,The 1975,modern alternative rock,2016,2020‑06‑08,101,0.788,0.61,-5.724,0.153,0.472,347520,0.195,0.0585,76,2016,Band/Group
The Sound,The 1975,modern alternative rock,2016,2021‑08‑09,121,0.28,0.322,-9.367,0.102,0.175,248467,0.468,0.0281,63,2016,Band/Group
Closer,The Chainsmokers,dance pop,2016,2020‑06‑08,95,0.524,0.748,-5.599,0.111,0.661,244960,0.414,0.0338,88,2016,Duo
Don't Let Me Down,The Chainsmokers,dance pop,2016,2020‑06‑08,160,0.502,0.455,-7.539,0.094,0.674,209453,0.699,0.0493,83,2016,Duo
Ophelia,The Lumineers,folk-pop,2016,2020‑06‑08,76,0.573,0.664,-6.519,0.0857,0.566,160097,0.613,0.0277,79,2016,Band/Group
Starboy,The Weeknd,canadian contemporary r&b,2016,2020‑06‑08,186,0.587,0.679,-7.015,0.137,0.486,230453,0.141,0.276,88,2016,Solo
Once In a While,Timeflies,dance pop,2016,2020‑06‑25,105,0.142,0.209,-11.37,0.0945,0.0386,103500,0.902,0.0416,65,2016,Duo
Girls Like (feat. Zara Larsson),Tinie Tempah,dance pop,2016,2020‑06‑08,120,0.815,0.916,-3.418,0.0765,0.577,195307,0.386,0.0495,67,2016,Solo
Cool Girl,Tove Lo,art pop,2016,2020‑06‑08,102,0.694,0.674,-7.076,0.0752,0.203,199179,0.313,0.109,69,2016,Solo
PILLOWTALK,ZAYN,dance pop,2016,2020‑06‑08,125,0.7,0.584,-4.275,0.0939,0.438,202747,0.117,0.0456,82,2016,Solo
That's What I Like,Bruno Mars,dance pop,2016,2021‑01‑28,134,0.924,0.526,-3.853,0.427,0.794,207253,0.008,0.106,86,2017,Solo
24K Magic,Bruno Mars,dance pop,2016,2021‑01‑28,107,0.803,0.818,-4.282,0.153,0.632,225983,0.034,0.0797,82,2017,Solo
Redbone,Childish Gambino,atl hip hop,2016,2021‑01‑28,160,0.353,0.745,-10.614,0.118,0.598,326933,0.174,0.0983,87,2017,Solo
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2016,2021‑01‑28,102,0.73,0.717,-4.729,0.398,0.792,251173,0.383,0.0568,80,2017,Band/Group
iSpy (feat. Lil Yachty),KYLE,pop,2016,2021‑01‑28,75,0.653,0.746,-6.745,0.229,0.672,253107,0.378,0.289,76,2017,Solo
Touch (feat. Kid Ink),Little Mix,dance pop,2016,2021‑01‑28,102,0.752,0.641,-3.929,0.494,0.547,202947,0.0448,0.109,59,2017,Band/Group
Congratulations,Post Malone,dfw rap,2016,2021‑01‑28,123,0.804,0.63,-4.183,0.253,0.492,220293,0.215,0.0364,85,2017,Solo
I Fall Apart,Post Malone,dfw rap,2016,2021‑01‑28,144,0.538,0.556,-5.408,0.196,0.291,223347,0.0689,0.0382,83,2017,Solo
Swang,Rae Sremmurd,hip hop,2016,2021‑01‑28,140,0.314,0.681,-9.319,0.1,0.166,208120,0.2,0.0581,80,2017,Duo
Black Beatles,Rae Sremmurd,hip hop,2016,2021‑01‑28,146,0.127,0.686,-14.361,0.0573,0.372,138387,0.754,0.0342,80,2017,Duo
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,san diego rap,2016,2021‑01‑28,108,0.427,0.886,-10.028,0.0906,0.23,177184,0.0312,0.145,81,2017,Solo
Broccoli,Shelley FKA DRAM,alternative r&b,2016,2021‑01‑28,146,0.525,0.886,-7.39,0.057,0.708,225205,0.236,0.132,64,2017,Solo
I Feel It Coming,The Weeknd,canadian contemporary r&b,2016,2021‑01‑28,93,0.819,0.773,-5.946,0.0679,0.585,269187,0.428,0.118,82,2017,Solo
goosebumps,Travis Scott,hip hop,2016,2021‑01‑28,130,0.728,0.841,-3.37,0.149,0.43,243837,0.0847,0.0484,88,2017,Solo
Juju on That Beat (TZ Anthem),Zay Hilfigerrr,hip hop,2016,2021‑01‑28,161,0.887,0.807,-3.892,0.391,0.78,144244,0.00381,0.275,62,2017,Solo
When We Were Young,Adele,british soul,2015,2020‑06‑08,144,0.988,0.467,-3.313,0.28,0.321,220427,0.000152,0.112,79,2016,Solo
Send My Love (To Your New Lover),Adele,british soul,2015,2020‑06‑08,164,0.533,0.688,-8.363,0.172,0.567,223079,0.0355,0.0865,77,2016,Solo
Hello,Adele,british soul,2015,2020‑06‑08,79,0.43,0.578,-6.134,0.0854,0.288,295502,0.33,0.0305,77,2016,Solo
Here,Alessia Cara,canadian contemporary r&b,2015,2020‑06‑08,120,0.54,0.557,-10.484,0.179,0.394,185733,0.0339,0.0347,71,2016,Solo
Don't,Bryson Tiller,kentucky hip hop,2015,2020‑08‑11,97,0.534,0.615,-6.719,0.0607,0.193,236413,0.106,0.0386,83,2016,Solo
Exchange,Bryson Tiller,kentucky hip hop,2015,2020‑06‑08,160,0.433,0.525,-10.598,0.135,0.276,194613,0.107,0.185,81,2016,Solo
Back To Sleep,Chris Brown,dance pop,2015,2020‑06‑08,93,0.646,0.647,-5.483,0.0888,0.721,201253,0.0424,0.243,65,2016,Solo
Hymn for the Weekend,Coldplay,permanent wave,2015,2020‑06‑08,90,0.693,0.491,-6.487,0.325,0.412,258267,0.211,0.0377,86,2016,Band/Group
Adventure of a Lifetime,Coldplay,permanent wave,2015,2020‑06‑08,112,0.924,0.638,-3.887,0.149,0.53,263787,0.00205,0.036,79,2016,Band/Group
My House,Flo Rida,dance pop,2015,2020‑06‑08,94,0.702,0.688,-4.792,0.128,0.74,192191,0.0215,0.0499,81,2016,Solo
"Me, Myself & I",G-Eazy,indie pop rap,2015,2020‑06‑08,112,0.674,0.756,-6.518,0.158,0.389,251467,0.0184,0.0959,82,2016,Solo
Love Yourself,Justin Bieber,canadian pop,2015,2020‑06‑08,100,0.378,0.609,-9.828,0.28,0.515,233720,0.835,0.438,87,2016,Solo
Sorry,Justin Bieber,canadian pop,2015,2020‑06‑08,100,0.675,0.819,-4.281,0.289,0.602,207747,0.0318,0.0727,85,2016,Solo
Stay (feat. Maty Noyes),Kygo,edm,2015,2020‑06‑08,103,0.736,0.648,-7.948,0.171,0.378,239465,0.0444,0.0385,65,2016,Solo
History,One Direction,boy band,2015,2020‑06‑08,87,0.373,0.438,-9.769,0.123,0.274,97050,0.803,0.0291,77,2016,Band/Group
Lost Boy,Ruth B.,alt z,2015,2020‑06‑08,124,0.128,0.586,-9.297,0.0858,0.371,276067,0.963,0.0496,77,2016,Solo
Same Old Love,Selena Gomez,dance pop,2015,2020‑06‑08,98,0.593,0.672,-4.01,0.214,0.438,229080,0.0223,0.0304,70,2016,Solo
Hands To Myself,Selena Gomez,dance pop,2015,2020‑06‑08,111,0.507,0.811,-7.161,0.342,0.438,200680,0.0146,0.117,68,2016,Solo
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2015,2020‑06‑08,114,0.761,0.687,-4.582,0.147,0.743,223853,0.102,0.0876,77,2016,Solo
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,edm,2015,2020‑06‑08,95,0.521,0.681,-5.849,0.108,0.181,229747,0.12,0.141,77,2016,Duo
Roses,The Chainsmokers,dance pop,2015,2020‑06‑08,100,0.721,0.785,-5.457,0.285,0.894,176219,0.0149,0.0506,78,2016,Duo
Renegades,X Ambassadors,modern alternative rock,2015,2021‑05‑06,90,0.862,0.526,-6.003,0.229,0.528,195200,0.0144,0.0905,80,2016,Band/Group
Unsteady,X Ambassadors,modern alternative rock,2015,2020‑06‑08,117,0.665,0.389,-6.169,0.116,0.199,193547,0.178,0.0644,78,2016,Band/Group